id,items
166,Getting/giving a massage
167,Shooting hoops at the local basketball courts
168,Flying kites
169,Savouring a piece of fresh fruit
170,Playing hockey
171,Eating outside during my lunch break
172,Floating on a pool lounge
173,Making a pot of tea
174,Using special items (e.g. fine china/ silver cutlery/
175,Doing a DIY project (e.g. making homemade
176,Taking care of my plants
177,Telling a joke
178,Going to a public place and people watching
179,Discussing books
180,Going window shopping
181,Watching boxing/ wrestling
182,Giving someone a genuine compliment
183,Practising yoga/ Pilates
184,Walking around the block
185,Shaving
186,Genuinely listening to others
187,Participating in a clean-up (e.g. picking up litter
188,Eating fish and chips at the beach
189,Rearranging the furniture in my house
190,Doing water aerobics
191,Blowing bubbles
192,Buying new furniture
193,Watching a sunset or sunrise
194,Star gazing
195,Watching a funny TV show or movie
196,Making pottery/ or taking a pottery class
197,Playing mini golf
198,Recycling old items
199,Going to a water park
200,Practising karate/ judo
201,Boxing a punching bag
202,Cleaning
203,Driving a Go Kart
204,Daydreaming
205,Learning about my family tree
206,Picking berries at a farm
207,Watching kids play sport
208,Setting up a budget
209,Writing a positive comment on a website /blog
210,Getting a manicure or pedicure
211,Collecting things (coins/ shells/ etc.)
212,Playing cricket
213,Signing up for a fun run
214,Scrapbooking
215,Accepting an invitation
216,Cooking an international cuisine
217,Solving riddles
218,Scuba diving
219,Watching home videos
220,Building a sand castle
221,Planning a holiday
222,Sitting at the beach or river and watching the
223,Watching fireworks
224,Making home-made pizza
225,Cheering for a sports team
226,Origami
227,Doing something nostalgic (e.g. eating a
228,Joining a club (e.g. film/ book/ sewing/ etc.)
229,Lighting candles
230,Going bowling
231,Going to museums/ art galleries
232,Reading comics
233,Having coffee at a cafe
234,Trying new hairstyles
235,Taking a road trip
236,Watching a fireplace or campfire
237,Whistling
238,Playing darts
239,Going to a flea market
240,Working from home
241,Buying a meal from a food truck or hawkers
242,Operating a remote control car / plane
243,Playing board games (e.g. Scrabble/ Monopoly)
244,Savouring a piece of chocolate
245,Hunting for a bargain at an op shop/ garage
246,Buying/ selling stocks and shares
247,Going to plays and concerts
248,Buying fresh food at the market
249,Beachcombing
250,Dining out at a restaurant or café
251,Harvesting home grown produce
252,Exploring with a metal detector
253,Giving someone a hug
254,Taking a holiday
255,Going to the hairdresser or barber
256,Swimming with dolphins
257,Picking flowers
258,Sandboarding
259,Going to the beauty salon
260,Buying myself something nice
261,Playing squash
262,Eating something nourishing (e.g. chicken soup)
263,Babysitting for someone
264,Taking a class (e.g. cooking/ improvisation/
265,Combing or brushing my hair
266,Writing diary/journal entries
