id,items
104,Getting massages or backrubs
105,Watching the sky/ clouds/ or a storm
106,Improving my health (having my teeth fixed/ getting new glasses/ beginning an exercise
107,Being downtown
108,Wrestling or boxing
109,Playing in a musical group
110,Hiking
111,Going to a museum or exhibit
112,Writing papers/ essays/ articles/ reports/ memos/ etc.
113,Doing a job well
114,Having spare time
115,Fishing
116,Loaning something
117,Being noticed as sexually attractive
118,Pleasing employers/ teachers/ etc.
119,Counseling someone
120,Going to a health club/ spa/ etc.
121,Learning to do something new
122,Going to a “Drive-in” (Dairy Queen/ McDonald’s/ etc.)
123,Complimenting or praising someone
124,Thinking about people I like
125,Being at a fraternity or sorority
126,Being with my parents
127,Horseback riding
128,Protesting social/ political/ or environmental conditions
129,Talking on the telephone
130,Having daydreams
131,Kicking leaves/ sand/ pebbles/ etc.
132,Playing lawn sports (badminton/ croquet/ shuffleboard/ horseshoes/ etc.)
133,Going to school reunions/ alumni meetings/ etc.
134,Seeing famous people
135,Going to the movies
136,Kissing
137,Being alone
138,Budgeting my time
139,Cooking meals
140,Outwitting a “superior”
141,Feeling the presence of the Lord in my life
142,Doing a project in my own way
143,Doing “odd jobs” around the house
144,Crying
145,Being at a family reunion or get-together
146,Giving a party or get-together
147,Washing my hair
148,Coaching someone
149,Going to a restaurant
150,Seeing or smelling a flower or plant
151,Being invited out
152,Receiving honors (civic/ military/ etc.)
153,Using cologne/ perfume/ or aftershave
154,Having someone agree with me
155,Reminiscing/ talking about old times
156,Getting up early in the morning
157,Having peace and quiet
158,Doing experiments or other scientific work
159,Visiting friends
160,Writing in a diary
161,Playing football
162,Being counseled
163,Saying prayers
164,Giving massages or backrubs
165,Doing favors for people
166,Talking with people on the job or in class
167,Being relaxed
168,Offering help or advice
169,Thinking about other people’s problems
170,Playing board games (Monopoly/ Scrabble/ etc.)
171,Sleeping soundly at night
172,Doing heavy outdoor work (cutting or chopping wood/ clearing land/ farm work/ etc.)
173,Reading the newspaper
174,Snowmobiling or dune-buggy riding
175,Being in a body-awareness/ sensitivity/ therapy/ or “rap” group
176,Playing ping-pong
177,Brushing my teeth
178,Swimming
179,Running/ jogging/ or doing gymnastics/ fitness/ or field exercises
180,Walking barefoot
181,Playing Frisbee or catch
182,Doing housework or laundry/ cleaning things
183,Being with my roommate
184,Listening to music
185,Arguing a point
186,Knitting/ crocheting/ embroidery/ or fancy needlework
187,Amusing people
188,Going to a barber or beautician
189,Having house guests
190,Being with someone I love
191,Reading magazines
192,Sleeping late
193,Starting a new project
194,Finishing a project
195,Having sexual relations
196,Having other sexual satisfactions
197,Going to the library
198,Playing soccer/ rugby/ hockey/ lacrosse/ etc.
199,Preparing a new or special food
200,Bird watching
201,Shopping
202,Watching people
203,Building or watching a fire
204,Winning an argument
205,Selling or trading something
206,Finishing a project or task
207,Confessing or apologizing
208,Repairing things
209,Working with others as a team
210,Bicycling
211,Giving direction to others
212,Being with happy people
213,Playing party games
214,Writing letters/ cards/ or notes
215,Talking about politics or public affairs
216,Asking for help or advice
217,Going to banquets/ luncheons/ potlucks/ etc.
218,Talking about my hobby or special interest
219,Smiling at people
220,Playing in sand/ a stream/ the grass/ etc.
221,Being with my husband/ wife/ or partner
222,Going on field trips/ nature walks/ etc.
223,Expressing my love to someone
224,Caring for houseplants
225,Having coffee/ tea/ etc./ with friends
226,Taking a walk
227,Collecting things
228,Playing handball/ paddleball/ squash/ etc.
229,Sewing
230,Remembering a departed friend or loved one/ visiting the cemetery
231,Doing things with children
232,Beachcombing
233,Eating snacks
234,Staying up late
235,Having family members or friends do something that makes me proud of them
236,Being with my children
237,Going to auctions/ garage sales/ etc.
238,Thinking about an interesting question
239,Doing volunteer work/ working on community service projects
240,Water skiing/ surfing/ scuba diving
241,Defending or protecting someone/ stopping fraud or abuse
242,Hearing a good sermon
243,Winning a competition
244,Making a new friend
245,Talking about my job or school
246,Reading cartoons/ comic strips/ or comic books
247,Borrowing something
248,Traveling with a group
249,Seeing old friends
250,Teaching someone
251,Using my strength
252,Traveling
253,Going to office parties or department get-togethers
254,Attending a concert/ opera/ or ballet
255,Playing with pets
256,Going to a play
257,Looking at the stars or moon
258,Being coached
259,Getting a massage
260,Going out to eat
261,Eating a favorite food
262,Cooking a healthy meal
263,Going on a picnic
264,Sitting in a peaceful place
265,Listening to educational tapes/ relaxation tapes/ or audio books
266,Taking a long weekend
267,Playing a video or computer game
268,Surfing the internet
269,Listening to music
270,Gardening
271,Planning a vacation
272,Going to a movie
273,Watching a video
